unix_ts,rate
1766361600,5.933702542
1766363400,5.346742248
1766365200,5.648237703
1766367000,5.223842074
1766368800,5.162457997
1766370600,5.430405930
1766372400,5.189364188
1766374200,5.633123824
1766376000,5.785435459
1766377800,5.736571788
1766379600,6.301239328
1766381400,6.400112068
1766383200,6.661070212
1766385000,6.968517672
1766386800,7.551930402
1766388600,7.484823608
1766390400,8.449301015
1766392200,8.773822561
1766394000,8.953788434
1766395800,9.522374150
1766397600,9.361876407
1766399400,9.696445232
1766401200,10.541316578
1766403000,10.581901269
1766404800,10.214868330
1766406600,11.277770861
1766408400,10.962183163
1766410200,10.675516557
1766412000,10.639195057
1766413800,10.757927827
1766415600,10.774460235
1766417400,11.209016529
1766419200,10.412894774
1766421000,10.862980841
1766422800,10.504923791
1766424600,10.117055261
1766426400,9.834242843
1766428200,9.607058668
1766430000,8.713047463
1766431800,8.227036927
1766433600,8.600351533
1766435400,7.630499526
1766437200,7.825467581
1766439000,6.781713839
1766440800,6.463366763
1766442600,6.214339681
1766444400,5.953993781
1766446200,5.736740245
1766448000,5.958811985
1766449800,5.902552352
1766451600,5.496353738
1766453400,5.304463935
1766455200,5.262722256
1766457000,5.648036633
1766458800,5.745621561
1766460600,5.457216881
1766462400,6.174843010
1766464200,6.195012837
1766466000,6.694305568
1766467800,6.904568267
1766469600,7.286244392
1766471400,7.273304491
1766473200,7.423711794
1766475000,7.808647689
1766476800,8.597329724
1766478600,9.045468008
1766480400,9.017934796
1766482200,9.841123747
1766484000,9.963684360
1766485800,10.129591604
1766487600,10.989434996
1766489400,10.830228867
1766491200,10.767087252
1766493000,10.663389732
1766494800,11.619415810
1766496600,11.974365687
1766498400,11.803618121
1766500200,11.618332797
1766502000,11.579328508
1766503800,11.598953150
1766505600,10.861121444
1766507400,10.922903982
1766509200,10.534641098
1766511000,10.558704690
1766512800,9.771003031
1766514600,9.872978115
1766516400,9.239340247
1766518200,8.652550189
1766520000,8.839193256
1766521800,8.300776595
1766523600,8.073261364
1766525400,7.472305177
1766527200,6.837979460
1766529000,6.425703598
1766530800,6.350365743
1766532600,6.042622602
1766534400,6.258409074
1766536200,5.934774734
1766538000,5.850982394
1766539800,5.694716003
1766541600,5.630904198
1766543400,5.379541835
1766545200,5.888860233
1766547000,5.960006912
1766548800,5.829072956
1766550600,6.319711603
1766552400,6.588524063
1766554200,6.806328012
1766556000,7.045253745
1766557800,7.595552816
1766559600,7.659330027
1766561400,8.033843689
1766563200,8.965266951
1766565000,8.796183405
1766566800,8.974653963
1766568600,10.015766555
1766570400,10.038367588
1766572200,10.223175009
1766574000,10.767874534
1766575800,10.868976725
1766577600,11.329819792
1766579400,10.922657240
1766581200,11.347251372
1766583000,11.861299462
1766584800,11.489235618
1766586600,11.193143233
1766588400,11.071385140
1766590200,12.000382853
1766592000,10.980719173
1766593800,10.744568285
1766595600,11.181514959
1766597400,9.989697957
1766599200,10.261252313
1766601000,9.566901177
1766602800,9.681073021
1766604600,9.452124664
1766606400,9.011358860
1766608200,8.647984703
1766610000,7.506891483
1766611800,7.474375395
1766613600,7.386826758
1766615400,6.586025935
1766617200,6.238560195
1766619000,6.305718067
1766620800,5.886600883
1766622600,6.020556426
1766624400,5.670504056
1766626200,5.451082640
1766628000,5.532320911
1766629800,5.552276333
1766631600,5.588168821
1766633400,5.814926050
1766635200,6.252309211
1766637000,6.398481062
1766638800,6.456394157
1766640600,7.024828479
1766642400,7.404833120
1766644200,7.488013046
1766646000,7.495556049
1766647800,8.669733300
1766649600,8.243570956
1766651400,8.644074611
1766653200,9.053585525
1766655000,9.594761728
1766656800,10.448493607
1766658600,10.807678693
1766660400,11.157368829
1766662200,11.614394052
1766664000,11.575024423
1766665800,11.040107114
1766667600,11.228313407
1766669400,11.872921539
1766671200,11.113042941
1766673000,12.024319118
1766674800,11.064630320
1766676600,11.062237839
1766678400,10.911417196
1766680200,11.285050467
1766682000,10.605218933
1766683800,10.572800666
1766685600,9.735218941
1766687400,9.904091473
1766689200,8.995664895
1766691000,9.045442446
1766692800,8.384001616
1766694600,8.631468715
1766696400,8.151688451
1766698200,7.787323725
1766700000,7.147279512
1766701800,6.567060032
1766703600,6.574130972
1766705400,5.973692555
1766707200,25.512358521
1766709000,25.668004796
1766710800,23.130642244
1766712600,24.370330443
1766714400,24.670514582
1766716200,24.344228365
1766718000,23.005370185
1766719800,24.106654503
1766721600,25.859907188
1766723400,25.911733456
1766725200,26.546697544
1766727000,28.032215228
1766728800,31.094942557
1766730600,7.586319682
1766732400,8.420337510
1766734200,8.719197706
1766736000,9.450004301
1766737800,9.367262551
1766739600,9.558796397
1766741400,10.219631251
1766743200,10.732847286
1766745000,11.183165918
1766746800,11.397079832
1766748600,11.036027633
1766750400,12.006935904
1766752200,11.899777217
1766754000,11.830090314
1766755800,12.555529206
1766757600,12.536770022
1766759400,12.019712249
1766761200,12.182550523
1766763000,11.793980031
1766764800,11.733138799
1766766600,12.088459361
1766768400,10.822516616
1766770200,10.874071384
1766772000,10.669529041
1766773800,9.958773708
1766775600,9.832979340
1766777400,9.332025055
1766779200,8.681244429
1766781000,8.877866399
1766782800,8.428945133
1766784600,8.091141122
1766786400,7.158999439
1766788200,7.019976140
1766790000,6.522413850
1766791800,6.515982246
1766793600,4.763786287
1766795400,4.617962260
1766797200,4.457773798
1766799000,4.457307299
1766800800,4.577136919
1766802600,4.337189092
1766804400,4.322274976
1766806200,4.349903743
1766808000,4.793860078
1766809800,4.910381094
1766811600,4.925649130
1766813400,5.375040039
1766815200,5.753915654
1766817000,5.827392019
1766818800,6.037369310
1766820600,6.086934128
1766822400,6.761734981
1766824200,6.974977558
1766826000,7.014918407
1766827800,7.512799956
1766829600,8.186308050
1766831400,8.325522887
1766833200,8.012050704
1766835000,8.744296639
1766836800,8.648673335
1766838600,8.573259072
1766840400,8.633160944
1766842200,9.062653242
1766844000,9.159022688
1766845800,8.615272548
1766847600,9.274682876
1766849400,9.211837859
1766851200,8.445932241
1766853000,8.670153975
1766854800,8.684915312
1766856600,8.413958445
1766858400,7.704379123
1766860200,7.441424679
1766862000,7.687436199
1766863800,7.268045713
1766865600,6.523364492
1766867400,6.648402018
1766869200,5.923847733
1766871000,5.996468909
1766872800,5.309249171
1766874600,5.525954262
1766876400,5.141322371
1766878200,4.638718611
1766880000,4.110501213
1766881800,3.984546614
1766883600,4.010706862
1766885400,3.678271940
1766887200,3.800825891
1766889000,4.013115028
1766890800,3.943936675
1766892600,4.048202659
1766894400,4.287279914
1766896200,4.415933961
1766898000,4.628383017
1766899800,4.773963727
1766901600,4.995038582
1766903400,5.386137001
1766905200,5.547746104
1766907000,5.684628778
1766908800,6.102422803
1766910600,6.206857533
1766912400,6.279136826
1766914200,7.056533958
1766916000,7.089659038
1766917800,7.483330924
1766919600,7.712166436
1766921400,7.934065707
1766923200,7.424705692
1766925000,7.821602256
1766926800,7.952515832
1766928600,8.247303933
1766930400,8.111938673
1766932200,7.966301819
1766934000,7.876073233
1766935800,8.196658687
1766937600,7.740056038
1766939400,7.689110509
1766941200,7.441423489
1766943000,7.147639563
1766944800,6.940152140
1766946600,6.527838711
1766948400,6.311411783
1766950200,5.979034256
1766952000,6.118798627
1766953800,5.900199735
1766955600,5.256962213
1766957400,5.103522716
1766959200,4.964591318
1766961000,4.460727837
1766962800,4.356953742
1766964600,4.425026432
1766966400,5.965322950
1766968200,5.369888919
1766970000,5.566716871
1766971800,5.171864248
1766973600,5.264802977
1766975400,5.498757825
1766977200,5.625025141
1766979000,5.857410138
1766980800,5.627424440
1766982600,5.998366379
1766984400,6.026253901
1766986200,6.665554804
1766988000,6.576055461
1766989800,7.512679276
1766991600,7.489243325
1766993400,7.846243927
1766995200,8.325995416
1766997000,8.662655020
1766998800,8.882113230
1767000600,9.100963691
1767002400,9.638954452
1767004200,10.301142000
1767006000,10.497722983
1767007800,10.500921400
1767009600,10.626881117
1767011400,10.460567122
1767013200,11.277823327
1767015000,11.116806451
1767016800,11.499661832
1767018600,11.617689285
1767020400,10.856160551
1767022200,10.616474939
1767024000,10.482608727
1767025800,10.989079073
1767027600,10.224540720
1767029400,9.806515831
1767031200,10.181308520
1767033000,9.863887082
1767034800,9.526847899
1767036600,8.804871663
1767038400,8.459361623
1767040200,8.151538463
1767042000,7.783779361
1767043800,7.357366006
1767045600,6.935832750
1767047400,6.603543857
1767049200,6.217750636
